img,norma,equivalente,desc,gama,grupo,aluminio,outros,img_aux,img_thumb,img1,img2,img3
por_A306_opt.jpg,A306,,Porca de garra,fix,por,,,,,,,
por_A310_1_opt.jpg,A310,,Porca gaiola,fix,por,,,,,,,
por_1587_1_opt.jpg,DIN 1587,,Porca sextavada tapada,fix,por,,,,,,,
por_315_ 1_opt.jpg,DIN 315,,Porca de Orelhas tipo americano,fix,por,,,,,,,
por_439_1_opt.jpg,DIN 439B,ISO 4035,Porca sextavada baixa,fix,por,,,,,,,
por_557_1_opt.jpg,DIN 557,,Porca quadrada,fix,por,,,,,,,
por_562_1_opt.jpg,DIN 562,,Porca quadrada baixa,fix,por,,,,,,,
por_582_1_opt.jpg,DIN 582,ISO 3266,Olhal de carga fêmea,fix,por,,,,,,,
por_6334_1_opt.jpg,DIN 6334,,União sextavada,fix,por,,,,,,,
por_6915_1_opt.jpg,DIN 6915,ISO 14399,Porca sextavada para estruturas metálicas,fix,por,,,,,,,
por_6923_1_opt.jpg,DIN 6923,ISO 4161,Porca sextavada com falange,fix,por,,,,,,,
por_917_1_opt.jpg,DIN 917,,Porca sextavada tapada baixa,fix,por,,,,,,,
por_928_1_opt.jpg,DIN 928,,Porca quadrada de soldar,fix,por,,,,,,,
por_929_1_opt.jpg,DIN 929,,Porca sextavada de soldar,fix,por,,,,,,,
por_934_1_opt.jpg,DIN 934,ISO 4032,Porca sextavada,fix,por,,,,,,,
por_935_1_opt.jpg,DIN 935,,Porca castelo,fix,por,,,,,,,
por_936_1_opt.jpg,DIN 936,ISO 8675,Porca sextavada baixa,fix,por,,,,,,,
por_980_1_opt.jpg,DIN 980V,,Porca sextavada autoblocante metálico,fix,por,,,,,,,
por_982_1_opt.jpg,DIN 982,ISO 7040,Porca sextavada autoblocante nylon alta,fix,por,,,,,,,
por_985_1_opt.jpg,DIN 985,ISO 7042,Porca sextavada autoblocante nylon,fix,por,,,,,,,
